Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,CentroComercial,TipoCentroComercial,NumLocal,tipo_corredor_industrial,nom_corredor_industrial,numero_local
8530015,WMILLENIUM,,"Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones",0 a 5 personas,CALLE,REPUBLICA DE URUGUAY,94,110,CENTRO (ÁREA 6),06060,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,MUNDONUEVO70@HOTMAIL.COM,,Fijo,-99.13386570,19.43013352,EDIFICIO CASA DON JUAN MANUEL,EDIFICIO COMERCIAL Y DE SERVICIOS,110,,,
8337383,REFACCIONES DE RELOJ,,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,DE LA PALMA,9,,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13508095,19.43451976,SIN NOMBRE,EDIFICIO COMERCIAL Y DE SERVICIOS,DESPACHO 314,,,
998708,TALLER UNICORNIO,,Reparación del sistema eléctrico de automóviles y camiones,0 a 5 personas,AVENIDA,5 DE MAYO,40,112,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13643142,19.43428369,EDIFICIO 5 DE MAYO,EDIFICIO COMERCIAL Y DE SERVICIOS,112,,,
7757244,SERVICIO DE INGENERIA Y REPARACION,,Reparación del sistema eléctrico de automóviles y camiones,6 a 10 personas,CALLE,MESONES,42,,CENTRO (ÁREA 8),06080,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13755834,19.42872683,,,,,,
1060485,VENTA DE REFACCIONES DE AUDIO Y VIDEO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,REPUBLICA DEL SALVADOR,39,306,CENTRO (ÁREA 8),06080,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5557099767,CARLOS.RODRIGUEZ.BARRERA@GMAIL.COM,,Fijo,-99.13884934,19.42989749,,,,,,
1060486,BODEGA DE REFACCIONES DE AUDIO Y VIDEO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,REPUBLICA DEL SALVADOR,39,306,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13884934,19.42989749,,,,,,
7756661,SERVICIO DIGITAL TALLER DE ELECTRÓNICA,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,ALDACO,8,,CENTRO,06070,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13990741,19.43000568,,,,,,
891959,EXTRAVAGANCE,KASSTHELM SA DE CV,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,ALDACO,6,,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5557091646,VENTASEXTRAVAGANCE@HOTMAIL.COM,,Fijo,-99.13985305,19.42984629,ALDACO,CENTRO Y PLAZA COMERCIAL,6,,,
1017241,SERVICIO ZAVALA,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,ALDACO,16,,CENTRO (ÁREA 8),06080,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5557093567,,,Fijo,-99.13986357,19.42971840,,,,,,
7756112,ESTACIONAMIENTO,,Otros servicios de reparación y mantenimiento de automóviles y camiones,11 a 30 personas,AVENIDA,JOSE MARIA PINO SUAREZ,81,0,CENTR0,06020,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13313219,19.42543274,,,,,,
