created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,protected,followers_count,friends_count,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,coordinates,listed_count,verified,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,attributes,bounding_box,contained_within,country,country_code,full_name,tweet_place_id,place_name,place_type,place_url,user_created_at,description,user_id,user_id_str,location,name,screen_name,hashtags
Sun Mar 22 21:31:03 +0000 2020,1241839832764014592,1241839832764014592,"Actualización de información:

En Nuevo León hay 37 casos confirmados de #covid_19mexico #CoronavirusMx 

De éstos:… https://t.co/qPrnKhVgsm",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,False,20920,776,3834,,,True,True,20298,es,False,False,,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/1179473697800884224/LiGghwiX_normal.jpg,https://pbs.twimg.com/profile_images/1179473697800884224/LiGghwiX_normal.jpg,https://pbs.twimg.com/profile_banners/71395594/1556563634,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,,,218,True,,False,114,236,False,False,,{},"{'type': 'Polygon', 'coordinates': [[[-100.425188, 25.5835569], [-100.3068775, 25.5835569], [-100.3068775, 25.7170179], [-100.425188, 25.7170179]]]}",[],Mexico,MX,"San Pedro Garza García, Nuevo León",305867481351611b,San Pedro Garza García,city,https://api.twitter.com/1.1/geo/id/305867481351611b.json,Thu Sep 03 23:44:27 +0000 2009,Mi trabajo de cada día como alcalde de @SanPedroNL es construir calidad de vida en el espacio público con la participación de los ciudadanos.,71395594,71395594,San Pedro Garza García,Miguel B. Treviño,miguelbtrevino,"covid_19mexico,CoronavirusMx"
Sun Mar 22 00:06:14 +0000 2020,1241516501120585733,1241516501120585733,Comparto este comunicado conjunto de alcaldes de importantes ciudades de todo México #Covid_19 #coronavirus https://t.co/gLUB0nZTZx,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,False,20920,776,3834,,,True,True,20298,es,False,False,,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/1179473697800884224/LiGghwiX_normal.jpg,https://pbs.twimg.com/profile_images/1179473697800884224/LiGghwiX_normal.jpg,https://pbs.twimg.com/profile_banners/71395594/1556563634,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,,,218,True,,False,84,202,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-100.425188, 25.5835569], [-100.3068775, 25.5835569], [-100.3068775, 25.7170179], [-100.425188, 25.7170179]]]}",[],Mexico,MX,"San Pedro Garza García, Nuevo León",305867481351611b,San Pedro Garza García,city,https://api.twitter.com/1.1/geo/id/305867481351611b.json,Thu Sep 03 23:44:27 +0000 2009,Mi trabajo de cada día como alcalde de @SanPedroNL es construir calidad de vida en el espacio público con la participación de los ciudadanos.,71395594,71395594,San Pedro Garza García,Miguel B. Treviño,miguelbtrevino,"Covid_19,coronavirus"
Sat Mar 21 20:47:03 +0000 2020,1241466375052247040,1241466375052247040,Para prevenir el #Covid_19 mejor #QuedateEnCasa 🏟😍 https://t.co/dsI4vHN180,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,False,403559,174,9057,,,True,True,41803,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1215092485602439168/iQlmnSnH_normal.jpg,https://pbs.twimg.com/profile_images/1215092485602439168/iQlmnSnH_normal.jpg,https://pbs.twimg.com/profile_banners/1056505141/1578535599,DD2E45,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,,,687,True,,False,81,865,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-96.150405, 19.054575], [-96.0475763, 19.054575], [-96.0475763, 19.231626], [-96.150405, 19.231626]]]}",[],Mexico,MX,"Boca del Río, Veracruz de Ignacio de la Llave",63b42cf9e0b05dad,Boca del Río,city,https://api.twitter.com/1.1/geo/id/63b42cf9e0b05dad.json,Thu Jan 03 00:42:17 +0000 2013,Cuenta Oficial del Club Deportivo Veracruz • Femenil: @SomosTiburonas • Fuerzas Básicas: @ClubTiburonesFB • #PorTiSeré ⚓️,1056505141,1056505141,Boca del Río,Club Deportivo Veracruz 🦈,ClubTiburones,"Covid_19,QuedateEnCasa"
Sun Mar 22 23:59:27 +0000 2020,1241877181405544449,1241877181405544449,"#FelizDomingo &gt;&gt; Un faro que no se quiebra, y su gente que tampoco. Eso es #PuertoMorelos, el municipio más joven d… https://t.co/FIEkngvXRC",True,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,False,1614,2335,9882,,,True,False,23428,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158962718872932352/MKpb1isM_normal.jpg,https://pbs.twimg.com/profile_images/1158962718872932352/MKpb1isM_normal.jpg,https://pbs.twimg.com/profile_banners/326921559/1579535991,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,,,26,False,,True,0,1,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-87.322724, 20.734206], [-86.740605, 20.734206], [-86.740605, 21.363232], [-87.322724, 21.363232]]]}",[],Mexico,MX,"Benito Juárez, Quintana Roo",6eb95eddb81a6b4b,Benito Juárez,city,https://api.twitter.com/1.1/geo/id/6eb95eddb81a6b4b.json,Thu Jun 30 18:14:16 +0000 2011,"Internacionalista 🌎| Periodista 🎥🎙️📰 | Futbolero ⚽ |
Chileno 🇨🇱 Mexicano 🇲🇽",326921559,326921559,México-Chile,Marcelo Salinas,msalinas21,"FelizDomingo,PuertoMorelos"
Sun Mar 22 23:58:35 +0000 2020,1241876964287426560,1241876964287426560,"@SportiumClub qué pasó con esto?? Ante la contingencia y de que las familias dependen de estos trabajos, se aprovec… https://t.co/67xaIrqXFT",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,237808814,237808814,SportiumClub,False,39,103,817,,,True,False,1833,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/895647553458515968/A1RJfpGl_normal.jpg,https://pbs.twimg.com/profile_images/895647553458515968/A1RJfpGl_normal.jpg,https://pbs.twimg.com/profile_banners/2770024044/1521734455,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,1,False,,False,0,2,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-99.364536, 19.232313], [-99.2466245, 19.232313], [-99.2466245, 19.405081], [-99.364536, 19.405081]]]}",[],Mexico,MX,"Cuajimalpa de Morelos, Distrito Federal",e86e154b91acd5a3,Cuajimalpa de Morelos,city,https://api.twitter.com/1.1/geo/id/e86e154b91acd5a3.json,Tue Aug 26 14:29:30 +0000 2014,"🇲🇽 Aventurero y apasionado 🚵🏻 Me encanta el Deporte 🏈🏉⚽️   🏊🏻  ⛳️🏌🏻Auditor de un Gran Grupo, ferviente seguidor de Chivas 🇫🇷",2770024044,2770024044,Queretaro,Tavo Ortiz,tavinho_ortiz,
Sun Mar 22 23:58:11 +0000 2020,1241876862000926731,1241876862000926731,Ahogado el niño tapamos el pozo #covid_19mexico https://t.co/wW3DeaROun,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,False,5434,5032,26069,,,True,False,19739,es,False,False,,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/378800000443468754/6a53cbbdd182627a72d062c9cdf0ce62_normal.jpeg,https://pbs.twimg.com/profile_images/378800000443468754/6a53cbbdd182627a72d062c9cdf0ce62_normal.jpeg,https://pbs.twimg.com/profile_banners/191173310/1543769779,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,,,25,False,,True,3,8,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-99.1919955, 19.357102], [-99.1309649, 19.357102], [-99.1309649, 19.4041235], [-99.1919955, 19.4041235]]]}",[],Mexico,MX,"Benito Juárez, Distrito Federal",7d93122509633720,Benito Juárez,city,https://api.twitter.com/1.1/geo/id/7d93122509633720.json,Wed Sep 15 19:46:49 +0000 2010,Certified Human Rights Defender and Promoter por un México  sustentable,191173310,191173310,"México, Chihuahua",Carlos Jauregui,proreshou,covid_19mexico
Sun Mar 22 23:56:30 +0000 2020,1241876438976008193,1241876438976008193,@SuavesLomitos buscando comida para mí Zeus por el #covid_19mexico https://t.co/YXyqo6fUMD,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,969061474860716033,969061474860716033,SuavesLomitos,False,125,395,3521,,,True,False,7073,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1106405524021624840/IF9gCHhc_normal.jpg,https://pbs.twimg.com/profile_images/1106405524021624840/IF9gCHhc_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,1,False,,False,0,0,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-100.421037, 25.4805381], [-100.166146, 25.4805381], [-100.166146, 25.802899], [-100.421037, 25.802899]]]}",[],Mexico,MX,"Monterrey, Nuevo León",b19e24ce42ccd6aa,Monterrey,city,https://api.twitter.com/1.1/geo/id/b19e24ce42ccd6aa.json,Fri Mar 27 04:26:51 +0000 2015,,3109145040,3109145040,,Memero Profesional 😂😂😂🤣,danvicer,covid_19mexico
Sat Mar 21 20:46:51 +0000 2020,1241466324573753344,1241466324573753344,"Si no muero de covid-19 muero de sarampión. 

Si ven al que me gusta diganle que fue un placer conocerle. ☹ https://t.co/tjL7S3mzsK",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,False,256,389,6416,,,True,False,12407,es,False,False,,000000,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1235593418039934976/dQd83_xe_normal.jpg,https://pbs.twimg.com/profile_images/1235593418039934976/dQd83_xe_normal.jpg,https://pbs.twimg.com/profile_banners/158539413/1576172154,4A913C,000000,000000,000000,False,True,False,False,False,False,False,,,4,False,,True,0,0,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-98.3001856, 19.077688], [-98.222497, 19.077688], [-98.222497, 19.160921], [-98.3001856, 19.160921]]]}",[],Mexico,MX,"Cuautlancingo, Puebla",5e3ed4076883b34b,Cuautlancingo,city,https://api.twitter.com/1.1/geo/id/5e3ed4076883b34b.json,Wed Jun 23 00:02:55 +0000 2010,"✳Enamorada✳Apasionada✳
Hija del maíz y la tortilla❇
Amo los tacos 💜❇#FanNFL 🏈❇
Mitad DFeña mitad Poblana❇
NO me gustan las rosas❇



Pero sí me gustas tú.",158539413,158539413,"Cholula de Rivadavia, San Pedr",Izzy,lzzyVe,
Sat Mar 21 20:46:47 +0000 2020,1241466305397395458,1241466305397395458,"En prioridades de miedos se que primero es el COVID-19

Y si la libramos...la recesión económica que nos caerá

Bue… https://t.co/mcjjLm0zbw",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,False,1298,1888,8617,,,True,False,5140,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1139551593198526464/efTQ7hRk_normal.jpg,https://pbs.twimg.com/profile_images/1139551593198526464/efTQ7hRk_normal.jpg,https://pbs.twimg.com/profile_banners/449262171/1513950285,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,10,False,,False,2,3,False,False,,{},"{'type': 'Polygon', 'coordinates': [[[-101.169792, 21.9593569], [-100.74123, 21.9593569], [-100.74123, 22.6628819], [-101.169792, 22.6628819]]]}",[],Mexico,MX,"San Luis Potosí, México",e825dd87e48f45ed,San Luis Potosí,city,https://api.twitter.com/1.1/geo/id/e825dd87e48f45ed.json,Wed Dec 28 22:54:52 +0000 2011,OncoPediatra MaestroEnCienciasInvestigacionClinica #ROTARIO #Huasteco #Maratonistax5 #ProductorDe @CrossTamasopo Entrepreneur en @CafeJardinSLP & @FitMeSanLuisP,449262171,449262171,"Tamasopo, San Luis Potosí",Zamudio,zamudioslp,
Sat Mar 21 20:46:29 +0000 2020,1241466232676573185,1241466232676573185,"Plan de trabajo para esta cuarentena, mis hijos y yo dispuestos a: 
✅ Levantarnos temprano 🌞
✅Estudiar y hacer tare… https://t.co/zE1irR8JL6",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,False,7572,1077,24648,,,True,False,19806,es,False,False,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1187043795310759936/DbLbtCqV_normal.jpg,https://pbs.twimg.com/profile_images/1187043795310759936/DbLbtCqV_normal.jpg,https://pbs.twimg.com/profile_banners/61334056/1583867581,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,17,False,,False,1,7,False,False,False,{},"{'type': 'Polygon', 'coordinates': [[[-99.069846, 17.862874], [-96.7242277, 17.862874], [-96.7242277, 20.840165], [-99.069846, 20.840165]]]}",[],Mexico,MX,"Puebla, México",b2e25421b563f31a,Puebla,admin,https://api.twitter.com/1.1/geo/id/b2e25421b563f31a.json,Thu Jul 30 00:06:02 +0000 2009,Estudiando Doctorado📚| Especialidad en Política Educativa | Embajadora @AMANCPuebla | Orgullosa Mamá | Amo leer 📖 | Disfruto del ⚽️.,61334056,61334056,"Puebla, México",Miriam Mozo,MiriamMozo,
