"id","nombre","keywords","horario","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
1,"Jardín de Cerveza Hércules","cerveza","Ver todos los horarios","4.5"," **N.º 3** de 50 Bar en Santiago de Querétaro","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d10819497-Reviews-Jardin_de_Cerveza_Hercules-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$4 - $180","Bar, Pub","-","Apto para vegetarianos","-","Av. Hércules Ote. 1 Adentro de la antigua fábrica textil Hércules, Santiago de
Querétaro 76069 México","laurab_abz@hotmail.com","+52 442 403 6140","Av. Hércules Ote. 1","México","Santiago de Querétaro 76069,","Adentro de la antigua fábrica textil Hércules","-100.356308","20.598946",216,103,55,12,7,2
2,"Happy Ending Cantina","cerveza","10:00 - 2:00","4.5"," **N.º 45** de 297 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d1235077-Reviews-Happy_Ending_Cantina-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","50","50","50","$47 - $187","Mexicana, Bar, Pub","-","Apto para vegetarianos","-","Calle Paseo de La Marina 22 Centro, Cabo San Lucas 23450 México","HappyEndingCantina@gmail.com","+52 624 143 0404","Calle Paseo de La Marina 22","México","Cabo San Lucas 23450,","Centro","-109.912018","22.885298",3071,1558,345,98,27,34
3,"Bashir & Co.","cerveza","Ver todos los horarios","4.5"," **N.º 1** de 5 Cervecería en Tequisquiapan","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1101793-d7072011-Reviews-Bashir_Co-Tequisquiapan_Central_Mexico_and_Gulf_Coast.html","45","45","45","45","$90 - $190","Pizzería, Cervecería","-","Apto para vegetarianos","-","20 de noviembre 2A, Tequisquiapan 76750 México","","+52 414 280 8099","20 de noviembre 2A","México","Tequisquiapan 76750,","","-99.892174","20.522928",152,103,22,15,1,4
4,"Blue Lobster","cerveza","11:00 - 23:00","4.5"," **N.º 15** de 57 Caribeña en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d1050325-Reviews-Blue_Lobster-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","40","45","$351 - $819","Caribeña, Mariscos","-","Apto para vegetarianos, Opciones sin gluten","-","12th Street and 5th Avenue, Playa del Carmen México","info@bluelobster.com.mx","+52 984 873 1360","12th Street and 5th Avenue","México","Playa del Carmen,","","-87.071457","20.627491",1674,604,279,84,37,22
5,"Cerveceria la Blanca","cerveza","14:00 - 1:00","4.5"," **N.º 25** de 80 Bar en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d5964632-Reviews-Cerveceria_la_Blanca-Guadalajara_Guadalajara_Metropolitan_Area.html","30","40","35","0","-","Bar, Pizzería","Almuerzo, Cena","-","Servicio de mesa","Calle Lope de Vega 127, Guadalajara 44130 México","","+52 33 3616 8909","Calle Lope de Vega 127","México","Guadalajara 44130,","","-103.379921","20.672649",22,12,6,3,0,1
6,"La Caña y otras hierbas","cerveza","Ver todos los horarios","4"," **N.º 1** de 2 Alemana en Xalapa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154235-d4237504-Reviews-La_Cana_y_Otras_Hierbas-Xalapa_Central_Mexico_and_Gulf_Coast.html","45","40","40","45","-","Alemana","Cena, Bebidas","-","Reservaciones, Asiento, Acceso para silla de ruedas","Calle de los Atletas # 21 Col. Venustiano Carranza, Xalapa 91070 México","","+52 1 228 812 0680","Calle de los Atletas # 21","México","Xalapa 91070,","Col. Venustiano Carranza","-96.925255","19.523762",34,14,12,6,1,0
7,"Mamut Cerveza Artesanal","cerveza","","4.5","**N.º 5** de 31 Bar en Tijuana","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150776-d8418164-Reviews-Mamut_Cerveza_Artesanal-Tijuana_Baja_California.html","45","40","45","0","-","Bar, Pizzería, Pub","Cena","-","Asiento, Sirve alcohol","Calle Tercera # 27 Located at Pasaje Rodriguez, Tijuana 22400 México","","+52 664 685 0137","Calle Tercera # 27","México","Tijuana 22400,","Located at Pasaje Rodriguez","-117.037674","32.533932",27,15,8,2,1,0
8,"La Pintada","cerveza","Ver todos los horarios","4.5"," **N.º 23** de 297 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d7855893-Reviews-La_Pintada-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","45","45","0","-","Mexicana, Pizzería, Internacional","Almuerzo, Cena","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Boulevard Lazaro Cardenas, Cabo San Lucas 23450 México","gerencia@lapintada.mx","+52 624 105 0163","Boulevard Lazaro Cardenas","México","Cabo San Lucas 23450,","","-109.909897","22.88994",212,100,29,4,2,2
9,"Pizzanchela","cerveza","14:00 - 22:00","4"," **N.º 1** de 2 Pizzería en Mineral de Pozos","Certificado de ExcelenciaGanador en 2017 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g1026478-d6419859-Reviews-Pizzanchela-Mineral_de_Pozos_Central_Mexico_and_Gulf_Coast.html","45","40","45","0","-","Pizzería","Cena, Almuerzo","Apto para vegetarianos","-","Paza Zaragoza No 11, Mineral de Pozos México","","+52 442 293 0205","Paza Zaragoza No 11","México","Mineral de Pozos,","","-100.495728","21.22476",60,26,21,6,3,3
10,"Cucapá Brewing Co","cerveza","","5","**N.º 43** de 80 Bar en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d15091587-Reviews-Cucapa_Brewing_Co-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$100 - $200","Bar, Pub","-","-","-","Calle Juárez 144, Centro, Guadalajara 03900 México","cucapagm@gmail.com","5236598803","Calle Juárez 144, Centro","México","Guadalajara 03900,","","-104.03894","20.190411",3,3,0,0,0,0
