"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
1,"Jardín de Cerveza Hércules","cerveza","11:00 - 22:00","$$ - $$$","4.5"," **N.º 3** de 50 Bar en Santiago de Querétaro","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g479232-d10819497-Reviews-Jardin_de_Cerveza_Hercules-Queretaro_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$4 - $180","Bar, Pub","-","Apto para vegetarianos","-","Av. Hércules Ote. 1 Dentro de la Antigua Fábrica Textil Hércules, Santiago de
Querétaro 76069 México","dmateos@cervecerahercules.mx","+52 442 403 6140","Av. Hércules Ote. 1","México","Santiago de Querétaro 76069,","Dentro de la Antigua Fábrica Textil Hércules","-100.356308","20.598946",216,103,55,12,7,2
2,"Centenario 107","cerveza","9:00 - 1:00","$$ - $$$","4"," **N.º 91** de 365 Latina en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3267278-Reviews-Centenario_107-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","35","$3,062 - $8,244","Latina, Bar, Pizzería, Española, Pub","-","Apto para vegetarianos, Opciones veganas","-","Calle Centenario 107 Col. del Carmen, Ciudad de México 04100 México","centenario107reservaciones@gmail.com","+52 55 4752 6369","Calle Centenario 107","México","Ciudad de México 04100,","Col. del Carmen","-99.163383","19.356071",161,59,51,13,4,6
3,"Santisima Flor de Lupulo","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 1** de 14 Cervecería en Oaxaca","Certificado de ExcelenciaGanador en 2016","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d7215542-Reviews-Santisima_Flor_de_Lupulo-Oaxaca_Southern_Mexico.html","45","45","45","0","-","Pub, Cervecería, Bar","Almuerzo, Cena","Apto para vegetarianos","-","Calle Ignacio Allende 215, Oaxaca 68000 México","","+52 951 516 4435","Calle Ignacio Allende 215","México","Oaxaca 68000,","","-96.725677","17.066",86,52,12,5,1,0
4,"La Cazota Grill Restaurant","cerveza","8:00 - 0:00","$$ - $$$","4.5"," **N.º 4** de 553 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2016, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d12369986-Reviews-La_Cazota_Grill_Restaurant-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","35","40","-","Mexicana, Bar","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones sin gluten","-","Quinta Avenida Entre Calles 6 y 8, Playa del Carmen 77710 México","","+52 984 873 2955","Quinta Avenida","México","Playa del Carmen 77710,","Entre Calles 6 y 8","-87.073074","20.625685",1812,947,135,35,26,24
5,"Restaurante Bar Fritz","cerveza","","$$ - $$$","4.5","**N.º 1** de 20 Alemana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7905487-Reviews-Restaurante_Bar_Fritz-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","45","40","0","-","Alemana, Europea, De Europa Central","Almuerzo, Cena","-","Reservaciones, Asiento, Sirve alcohol, Servicio de mesa, Comida para llevar","Dr. Rio de la Loza 221 Colonia Doctores, Ciudad de México México","","+52 55 3096 8696","Dr. Rio de la Loza 221","México","Ciudad de México,","Colonia Doctores","-99.151283","19.425756",37,25,5,5,1,0
6,"Panteon Taurino","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 3** de 203 Mexicana en León","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g154240-d3955772-Reviews-Panteon_Taurino-Leon_Central_Mexico_and_Gulf_Coast.html","40","40","40","45","-","Mexicana, Latina, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","Reservaciones, Asientos al aire libre, Asiento, Estacionamiento disponible,
Estacionamiento para clientes, Servicio de valet, Televisión, Acceso para
silla de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Acepta tarjetas de
crédito, Servicio de mesa","Calzada de Los Heroes 408 J. Clouthier 201 Campestre, León México","","+52 477 713 4969","Calzada de Los Heroes 408","México","León,","J. Clouthier 201 Campestre","-101.670113","21.118183",537,225,183,69,14,9
7,"La Matra-K","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 89** de 425 Italiana en Ciudad de México","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3752881-Reviews-La_Matra_K-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","45","45","$5 - $15","Latina, Italiana, Bar, Pizzería, Española, Pub, Argentina","-","Opciones veganas","-","Ramon Alcazar no. 27, Ciudad de México México","moys22@yahoo.com","+52 55359677","Ramon Alcazar no. 27","México","Ciudad de México,","","-99.152435","19.436329",77,46,11,5,1,1
8,"Taqueria La Eufemia","cerveza","","$","4.5","**N.º 50** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d6536767-Reviews-Taqueria_La_Eufemia-Tulum_Yucatan_Peninsula.html","45","40","45","45","-","Mexicana, Bar, Mariscos, Centroamericana, Latina, Parrilla","Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas","-","Carretera Tulum Boca Paila km 10 Next to Hotel Coqui Coqui, Tulum 77780 México","cesaroos@hotmail.com","+52 984 169 5353","Carretera Tulum Boca Paila km 10","México","Tulum 77780,","Next to Hotel Coqui Coqui","-87.458611","20.148596",921,349,124,44,17,12
9,"Happy Ending Cantina","cerveza","10:00 - 2:00","$","4.5"," **N.º 45** de 298 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d1235077-Reviews-Happy_Ending_Cantina-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","50","50","50","$47 - $188","Mexicana, Bar, Pub","-","Apto para vegetarianos","-","Calle Paseo de La Marina 22 Centro, Cabo San Lucas 23450 México","HappyEndingCantina@gmail.com","+52 624 143 0404","Calle Paseo de La Marina 22","México","Cabo San Lucas 23450,","Centro","-109.912018","22.885298",3071,1558,345,98,27,34
10,"La Caña y otras hierbas","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 1** de 2 Alemana en Xalapa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154235-d4237504-Reviews-La_Cana_y_Otras_Hierbas-Xalapa_Central_Mexico_and_Gulf_Coast.html","45","40","40","45","-","Alemana","Cena, Bebidas","-","Reservaciones, Asiento, Acceso para silla de ruedas","Calle de los Atletas # 21 Col. Venustiano Carranza, Xalapa 91070 México","","+52 1 228 812 0680","Calle de los Atletas # 21","México","Xalapa 91070,","Col. Venustiano Carranza","-96.925255","19.523762",34,14,12,6,1,0
