created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,protected,followers_count,friends_count,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,coordinates,listed_count,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,bounding_box,country,country_code,full_name,tweet_place_id,place_name,place_type,place_url,user_created_at,description,user_id,user_id_str,location,name,screen_name,hashtags,user_mentions_name,user_mentions_screen_name
Sun Mar 29 01:09:51 +0000 2020,1244069223422406662,1244069223422406662,"¿Ahora sí le harán la prueba al presidente? ¿O seguimos confiando en su fuerza moral que no contagia?
https://t.co/I3XugCHW8c",False,Twitter for Android,,,,,,False,78778,1614,26506,,,True,True,75379,es,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/776997670745321472/NxAQv4gV_normal.jpg,https://pbs.twimg.com/profile_images/776997670745321472/NxAQv4gV_normal.jpg,https://pbs.twimg.com/profile_banners/84352783/1562800422,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,858,,False,71,118,False,False,false,,Mexico,MX,"Tlalpan, Distrito Federal",2a376531dff3d76a,Tlalpan,city,https://api.twitter.com/1.1/geo/id/2a376531dff3d76a.json,Thu Oct 22 15:36:03 +0000 2009,"Periodista, autor de Serpientes y Escaleras en https://t.co/rtgPuLwgje Conductor de Noticieros HeraldoRadio y HeraldoTV; comentarista  @WRADIOMexico @Televisa",84352783,84352783,,Salvador García Soto,SGarciaSoto,,,
Wed Mar 25 22:01:48 +0000 2020,1242934735682371584,1242934735682371584,El presidente #AMLO advirtió que no habrá rescate de grandes empresas porque la prioridad son los pobres y los más… https://t.co/u00qLCuItq,True,Twitter for iPhone,,,,,,False,9759,1774,6810,,,True,True,12983,es,False,False,510800,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1223004979725852679/idFje89F_normal.jpg,https://pbs.twimg.com/profile_images/1223004979725852679/idFje89F_normal.jpg,https://pbs.twimg.com/profile_banners/541892389/1585511321,A16A23,FFFFFF,2C1703,E0912A,True,True,False,False,False,False,False,,,84,,False,31,57,False,False,false,,Mexico,MX,"Cuauhtémoc, Distrito Federal",bfc35dcc7e63252a,Cuauhtémoc,city,https://api.twitter.com/1.1/geo/id/bfc35dcc7e63252a.json,Sat Mar 31 18:54:14 +0000 2012,Médica Dermatóloga y Doctora en Innovación Educativa | Senadora por @MorenaSenadores | Secretaria de la comisión de REALC | #LXIVLegislatura @senadomexicano,541892389,541892389,"León, Guanajuato",Antares Vazquez Alatorre,AntaresVazAla,AMLO,,
Sun Mar 29 23:59:33 +0000 2020,1244413921903235073,1244413921903235073,@RedAMLOmexico Amlo su ignorancia indolencia y mal presidente,False,Twitter for Android,1.243946946676568e+18,1243946946676568064,82990871.0,82990871,RedAMLOmexico,False,3209,3552,7775,,,True,False,14839,es,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/540823498013544448/jacy-OzL_normal.jpeg,https://pbs.twimg.com/profile_images/540823498013544448/jacy-OzL_normal.jpeg,https://pbs.twimg.com/profile_banners/365830363/1417777316,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,,,6,,False,0,0,False,False,,,Mexico,MX,"Puebla, México",0ac8a42f23e8f736,Puebla,city,https://api.twitter.com/1.1/geo/id/0ac8a42f23e8f736.json,Thu Sep 01 02:40:57 +0000 2011,"comprometido con México
 y la humanidad. con actividad empresarial fabricante todo en acero inoxidable fifi por el dictarsucho separatista",365830363,365830363," Puebla, Veracruz, Mexico",Ricardo Longoria,Ricardolongori1,,RedAMLO,RedAMLOmexico
Sun Mar 29 23:59:08 +0000 2020,1244413817406324738,1244413817406324738,"@carlosnino1 @ursidonoble @beltrandelrio Es verdad, Gatell le tiene miedo a su Jefe AMLO, no digo nada del secretar… https://t.co/T1h35FgOTM",True,Twitter for Android,1.244290945492947e+18,1244290945492946950,242365100.0,242365100,carlosnino1,False,66,169,571,,,True,False,737,es,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2006281851/fer_normal.jpg,https://pbs.twimg.com/profile_images/2006281851/fer_normal.jpg,https://pbs.twimg.com/profile_banners/160265505/1544332638,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,0,,False,1,3,False,False,,,Mexico,MX,"Cuajimalpa de Morelos, Distrito Federal",e86e154b91acd5a3,Cuajimalpa de Morelos,city,https://api.twitter.com/1.1/geo/id/e86e154b91acd5a3.json,Sun Jun 27 17:47:31 +0000 2010,,160265505,160265505,,Fernando Vazquez,Feremprendedor,,"Carlos Niño,Osotzin🇲🇽🇲🇽🇲🇽,Pascal BeltrandelRio","carlosnino1,ursidonoble,beltrandelrio"
Sun Mar 29 23:56:10 +0000 2020,1244413067624099848,1244413067624099848,@caracusmx @esbores Pero AMLO pago por hadelantado bien rata el mecias tropical 🐁🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀,False,Twitter for Android,1.2443612153395732e+18,1244361215339573248,91628518.0,91628518,caracusmx,False,125,137,8202,,,True,False,13817,es,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1241770655298793473/9-5kywtS_normal.jpg,https://pbs.twimg.com/profile_images/1241770655298793473/9-5kywtS_normal.jpg,https://pbs.twimg.com/profile_banners/103191300/1522945823,038543,EEEEEE,F6F6F6,333333,True,True,False,False,False,False,False,,,0,,False,1,0,False,False,,,Mexico,MX,"León, Guanajuato",35b07b8fa46547c5,León,city,https://api.twitter.com/1.1/geo/id/35b07b8fa46547c5.json,Sat Jan 09 05:38:41 +0000 2010,"Odio a los políticos rateros, no me gusta escuchar tanta injusticia y que no se haga nada. México cambio en 12 años ...",103191300,103191300,"León, Guanajuato",Esthela@nene,columbaesthela,,"CARACUS 🇲🇽,Bores   #Gracias FCH","caracusmx,esbores"
Sun Mar 29 23:54:23 +0000 2020,1244412622025281538,1244412622025281538,Así me siento El Pueblo vs El Gobierno de #AMLO https://t.co/QzmW1rIN8i,False,Twitter for iPhone,,,,,,False,1294,2893,43591,,,True,False,36845,es,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3058421066/6fb4deac473f1e592948e55a4ac775c4_normal.jpeg,https://pbs.twimg.com/profile_images/3058421066/6fb4deac473f1e592948e55a4ac775c4_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,16,,False,2,3,False,False,false,,Mexico,MX,"San Pedro Garza García, Nuevo León",305867481351611b,San Pedro Garza García,city,https://api.twitter.com/1.1/geo/id/305867481351611b.json,Tue Jul 20 23:03:42 +0000 2010,"Designer,Architecture is my passion ...Golf is my game for life, futbol soccer ( TIGRES )",168845554,168845554,Mexico,Daniel,dancast38,AMLO,,
Sun Mar 29 23:50:37 +0000 2020,1244411672950910977,1244411672950910977,"@Julianatilano Se critica la centralidad de los recursos del presupuesto, porque AMLO quiere disponer de todo el pr… https://t.co/YqTKl2pCnU",True,Twitter for iPhone,1.2444106419029033e+18,1244410641902903296,338680223.0,338680223,trino26,False,165,656,15841,,,True,False,18861,es,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1143586407811878914/1_kqS0O-_normal.jpg,https://pbs.twimg.com/profile_images/1143586407811878914/1_kqS0O-_normal.jpg,https://pbs.twimg.com/profile_banners/338680223/1470180504,038543,EEEEEE,F6F6F6,333333,True,True,False,False,False,False,False,,,6,,False,0,0,False,False,,,Mexico,MX,"Mexicali, Baja California",95b8c1610ebc0395,Mexicali,city,https://api.twitter.com/1.1/geo/id/95b8c1610ebc0395.json,Tue Jul 19 23:01:10 +0000 2011,http://t.co/HrzAQF6DWL,338680223,338680223,"Mexicali, Baja, México",Fernando Mtz Acevedo,trino26,,Julián,Julianatilano
Sun Mar 29 23:48:30 +0000 2020,1244411138256896000,1244411138256896000,"Visita AMLO la tierra del Chapo! Justo en el día del cumple de Ovidio! 29/03/1990, no podía faltar a la fiesta del… https://t.co/HvjQE58PBV",True,Twitter for iPhone,,,,,,False,486,944,16431,,,True,False,16392,es,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/912422346568486913/cuUFiGsc_normal.jpg,https://pbs.twimg.com/profile_images/912422346568486913/cuUFiGsc_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,,,3,,False,1,3,False,False,false,,Mexico,MX,"Benito Juárez, Quintana Roo",6eb95eddb81a6b4b,Benito Juárez,city,https://api.twitter.com/1.1/geo/id/6eb95eddb81a6b4b.json,Thu Feb 09 11:05:11 +0000 2017,"ANTICHAIRO, sigueme y te sigo. Cuidemos Cancún, le da de tragar a un chingo de Mexicanos!",829647326365020160,829647326365020160,"Zona Hotelera, Benito Juárez",ZHCANCUN,ZHCANCUN,,,
Sun Mar 29 23:45:48 +0000 2020,1244410459001950213,1244410459001950213,@GinaCruz2018 @Jaime_BonillaV @lopezobrador_ Senadora @GinaCruz2018 el Presidente es un #IDIOTA y @Jaime_BonillaV e… https://t.co/srSNhFr3vo,True,Twitter for iPhone,1.2443994544608993e+18,1244399454460899328,3773929873.0,3773929873,GinaCruz2018,False,2614,3499,2997,,,True,False,47277,es,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/948067616811139072/6RIZKE_G_normal.jpg,https://pbs.twimg.com/profile_images/948067616811139072/6RIZKE_G_normal.jpg,https://pbs.twimg.com/profile_banners/144685343/1513814599,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,,,31,,False,0,0,False,False,,,Mexico,MX,"La Paz, Baja California Sur",f9f0721a619fc4ec,La Paz,city,https://api.twitter.com/1.1/geo/id/f9f0721a619fc4ec.json,Mon May 17 01:37:21 +0000 2010,"SUDCALIFORNIANO; EL MAR DE CORTES, UNO DE LOS MARES MAS DIVERSOS Y UNICOS DEL MUNDO SE ENCUENTRA AL BORDE DEL COLAPSO TOTAL POR CORRUPCION.",144685343,144685343,DESDE ALGUN LUGAR DEL PAIS ,JOEL MACIAS DE LARA,ELPICUDOAZUL,IDIOTA,"Gina Cruz,Jaime Bonilla Valdez,Andrés Manuel,Gina Cruz,Jaime Bonilla Valdez","GinaCruz2018,Jaime_BonillaV,lopezobrador_,GinaCruz2018,Jaime_BonillaV"
Sun Mar 29 23:42:44 +0000 2020,1244409687405219841,1244409687405219841,"@fifi_guason @Joseloirredento @SergioSarmiento Punto 1, se escribe IDIOTEZ.
Punto 2, yo tampoco comulgo con AMLO al… https://t.co/uyAmcjI3Ye",True,Twitter for Android,1.2443984134557245e+18,1244398413455724551,1.1940683363609969e+18,1194068336360996865,fifi_guason,False,583,4995,72016,,,True,False,9762,es,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1075835450961453057/lDv3mDdk_normal.jpg,https://pbs.twimg.com/profile_images/1075835450961453057/lDv3mDdk_normal.jpg,https://pbs.twimg.com/profile_banners/79391119/1397711317,FF3300,86A4A6,A0C5C7,333333,True,True,False,False,False,False,False,,,1,,False,0,3,False,False,,,Mexico,MX,"Iguala de la Independencia, Guerrero",539fc5395cbd9702,Iguala de la Independencia,city,https://api.twitter.com/1.1/geo/id/539fc5395cbd9702.json,Sat Oct 03 06:12:27 +0000 2009,"Dizque licenciado en Derecho, no soy fifí, pero tampoco chairo. Amo leer, escribo muy calabaza, pero escribo. Juego fútbol, Chivas, Real Madrid y Milán.",79391119,79391119,Iguala de la Independencia,Carlos Alberto,zurdo120881,,"Guason Fifí,José Luis Vázquez 🔆,Sergio Sarmiento","fifi_guason,Joseloirredento,SergioSarmiento"
